Sample	City	Environment	ARG_Class	Abundance
DRR480202	Kolkata	Controlled	ADC-265	1
DRR480202	Kolkata	Controlled	ADC-266	3
DRR480202	Kolkata	Controlled	ADC-274	8
DRR480202	Kolkata	Controlled	ADC-277	1
DRR480202	Kolkata	Controlled	ADC-280	1
DRR480202	Kolkata	Controlled	ADC-284	2
DRR480202	Kolkata	Controlled	ADC-288	3
DRR480202	Kolkata	Controlled	ADC-291	7
DRR480202	Kolkata	Controlled	ADC-295	3
DRR480202	Kolkata	Controlled	ADC-31	3
DRR480202	Kolkata	Controlled	ADC-314	1
DRR480202	Kolkata	Controlled	ADC-316	5
DRR480202	Kolkata	Controlled	ADC-330	2
DRR480202	Kolkata	Controlled	ADC-334	2
DRR480202	Kolkata	Controlled	ADC-343	2
DRR480202	Kolkata	Controlled	ADC-351	6
DRR480202	Kolkata	Controlled	ADC-352	1
DRR480202	Kolkata	Controlled	ADC-44	2
DRR480202	Kolkata	Controlled	ADC-58	2
DRR480202	Kolkata	Controlled	ADC-59	4
DRR480202	Kolkata	Controlled	ADC-6	1
DRR480202	Kolkata	Controlled	ADC-66	9
DRR480202	Kolkata	Controlled	ADC-68	5
DRR480202	Kolkata	Controlled	ADC-7	14
DRR480202	Kolkata	Controlled	ADC-76	1
DRR480202	Kolkata	Controlled	ADC-8	50
DRR480202	Kolkata	Controlled	ADC-83	12
DRR480202	Kolkata	Controlled	ADC-84	4
DRR480202	Kolkata	Controlled	ADC-85	2
DRR480202	Kolkata	Controlled	ADC-87	1
DRR480202	Kolkata	Controlled	ADC-92	2
DRR480202	Kolkata	Controlled	AER-1	231
DRR480202	Kolkata	Controlled	AFM-1	5
DRR480202	Kolkata	Controlled	AFM-4	2
DRR480202	Kolkata	Controlled	AFM-5	10
DRR480202	Kolkata	Controlled	AIM-1	300
DRR480202	Kolkata	Controlled	AIM-2	41
DRR480202	Kolkata	Controlled	ALG11-1	428
DRR480202	Kolkata	Controlled	ALG6-1	156
DRR480202	Kolkata	Controlled	ALI-1	2
DRR480202	Kolkata	Controlled	ALI-2	17
DRR480202	Kolkata	Controlled	AMZ-1	61
DRR480202	Kolkata	Controlled	ANA-1	103
DRR480202	Kolkata	Controlled	ANT(2'')-Ia	153
DRR480202	Kolkata	Controlled	ANT(3'')-IIa	66
DRR480202	Kolkata	Controlled	ANT(3'')-IIb	42
DRR480202	Kolkata	Controlled	ANT(3'')-IIc	15
DRR480202	Kolkata	Controlled	ANT(3'')-Ib	160
DRR480202	Kolkata	Controlled	ANT(4')-IIa	72
DRR480202	Kolkata	Controlled	ANT(4')-IIb	118
DRR480202	Kolkata	Controlled	ANT(4')-Ia	30
DRR480202	Kolkata	Controlled	ANT(4')-Ib	77
DRR480202	Kolkata	Controlled	ANT(6)-Ia	1034
DRR480202	Kolkata	Controlled	ANT(6)-Ib	545
DRR480202	Kolkata	Controlled	ANT(9)-Ia	1115
DRR480202	Kolkata	Controlled	ANT(9)-Ib	15
DRR480202	Kolkata	Controlled	ANT(9)-Ic	57
DRR480202	Kolkata	Controlled	ANT3II_ANT6II	3
